STREET_ID,street
232,North Avenue Northeast
233,Piedmont Circle Northeast
234,Lake Avenue Northeast
235,Fielding Lane Southwest
236,Collier Drive Northwest
237,East Rhinehill Road Southeast
238,Courtland Street Northeast
239,Northside Drive Southwest
240,Woodward Avenue Southeast
241,Blair Villa Drive Southeast
242,Cantrell Road Northeast
243,Dutch Valley Place Northeast
244,Ard Place Northwest
245,Peachtree Walk Northeast
246,Washita Avenue Northeast
247,Milton Avenue Southeast
248,Ora Avenue Southeast
249,Glenwood Place Southeast
250,Jackson Street Northeast
251,Harwell Place Northwest
252,Griffin Street Northwest
253,Auburn Avenue Northeast
254,Pulliam Street Southwest
255,Piedmont Road Northeast
256,Lang Drive Southwest
257,Edwina Lane Southwest
258,Chappell Road Southwest
259,Parkway Drive Northeast
260,Pelham Street Northwest
261,Spad Avenue Northwest
262,Moreland Avenue Southeast
263,Western Avenue Northwest
264,Deckner Avenue Southwest
265,Vine Street Northwest
266,Laurelwood Drive Southwest
267,Camilla Street Southwest
268,Cross Creek Parkway Northwest
269,Benteen Park Drive Southeast
270,Dolphin Drive Southwest
271,Hollywood Road Northwest
272,Donald Lee Hollowell Parkway Northwest
273,Centennial Olympic Park Drive Southwest
274,Hilburn Drive
275,Elleby Road Southeast
276,Rockhaven Circle Northeast
277,17 1/2 Street
278,Handley Avenue Southwest
279,Jesse Hill Junior Drive Southeast
280,Nolan Street Southeast
281,Pharr Court S Northwest
282,Palmetto Avenue Southwest
283,North Grand Avenue Northwest
284,Cleveland Avenue Southwest
285,West Peachtree Place Northwest
286,Ted Turner Drive Northwest
287,Garibaldi Street Southwest
288,Decatur Street Southeast
289,Kennolia Drive Southwest
290,Bluefield Drive Southwest
291,Arbor Gates Drive
292,Graymont Drive Southwest
293,Blackland Road Northwest
294,Spring Techwood Connector
295,Harwell Road Northwest
296,Hobart Drive Northwest
297,Plaza Lane Southwest
298,Baker Street Northeast
299,Fortress Avenue Southwest
300,Marietta Street
301,Watkins Street Northwest
302,Oakland Drive Southwest
303,Thirkeld Avenue Southeast
304,Spring Street Northwest
305,Crescendo Drive Northwest
306,Katherwood Drive Southwest
307,Grass Valley Road Southwest
308,Peyton Place Southwest
309,Norwood Avenue Northeast
310,Lindbergh Way NE
311,The Fontainebleau Southwest
312,Westchester Boulevard Northwest
313,Argyle Drive Northwest
314,Rogers Avenue Southwest
315,Riverly Place Northwest
316,Jett Street Northwest
317,Alison Court Southwest
318,Burchill Street
319,Sorrento Circle Southwest
320,East Ontario Avenue Southwest
321,Ashby Grove Southwest
322,Grant Terrace Southeast
323,Benning Place Northeast
324,Racine Street Southwest
325,Whetstone Creek PATH Trail
326,Francis Place Northwest
327,Richland Road Southwest
328,Benjamin E Mays Drive Southwest
329,West Avenue Southwest
330,Mount Zion Road Southeast
331,Bolton Road Northwest
332,Brewer Boulevard Southwest
333,Benteen Avenue Southeast
334,Glenaire Walk
335,Carmain Drive Northeast
336,7th Street Northeast
337,Woodmere Drive Northwest
338,Main Street
339,7th Street Southwest
340,South Avenue Southeast
341,Rhodenhaven Drive Northwest
342,Garden Walk
343,Hall Street Northwest
344,Central Avenue Southwest
345,16th Street Northwest
346,Roswell Road Northeast
347,Dodson Drive Southwest
348,Bolton Road
349,Allegheny Street Southwest
350,Lakeview Avenue Northeast
351,Allene Avenue Southwest
352,Newport Street Northwest
353,Archer Way Northwest
354,9th Street Northeast
355,Adamsville Drive Southwest
356,Hightower Road Northwest
357,Forsyth Street Northwest
358,Vera Street Southeast
359,Darlington Circle Northeast
360,Vine Street Southwest
361,Sterling Street Southeast
362,Cone Street Northwest
363,Clifton Road Southeast
364,Parc Court Southwest
365,Holly Street Northwest
366,Bromack Drive Southeast
367,Spencer Street Northwest
368,Seminole Avenue Northeast
369,Hilliard Street Southeast
370,Peyton Road Northwest
371,Fair Street Southwest
372,4th Street Northeast
373,Lee Street Southwest
374,Camp Creek Parkway
375,Spink Street Northwest
376,Tower Place Drive
377,Brookdale Drive Northwest
378,Land O Lakes Drive Northeast
379,Pharr Road Northeast
380,Goddard Street Southeast
381,Atlanta BeltLine Eastside Trail
382,Whiting Street Northwest
383,Sandys Lane Southeast
384,Culberson Street Southwest
385,Prichard Way Northeast
386,State Street Northwest
387,Bradley Street Southeast
388,La France Street Northeast
389,Amber Place Northwest
390,West Lake Court Northwest
391,Dixie Avenue Northeast
392,28th Street Northwest
393,Vermont Road Northeast
394,West Marietta Street Northwest
395,Virginia Avenue Northeast
396,Barge Road Southwest
397,Herring Road Southwest
398,West Shadowlawn Avenue Northeast
399,Townsend Place
400,Lakewood Way Southwest
401,Capitol Avenue Southwest
402,Morosgo Drive Northeast
403,West Kildare Avenue Northwest
404,McDonough Boulevard Southeast
405,Bernina Avenue Northeast
406,Bradbury Street Southwest
407,Glenn Street Southwest
408,Lakewood Avenue Southwest
409,3rd Street Northeast
410,Southside Park MTB - Oak Trail
411,Bollingbrook Drive Southwest
412,8th Street Northeast
413,Center Street Northwest
414,Simon Street Southeast
415,Andrews Street Northwest
416,Austin Avenue Northeast
417,Conley Road Southeast
418,Nash Road Northwest
419,Chappell Road Northwest
420,Atlanta Avenue Southeast
421,Andrew Young International Boulevard Northeast
422,Southside Park MTB - Evergreen Trail
423,4th Street Northwest
424,Eva Davis Way Southeast
425,Rena Circle Southwest
426,Lakewood Terrace Southeast
427,Celeste Lane
428,Fletcher Street Southwest
429,Trinity Avenue Southwest
430,Browning Street Southwest
431,Lanier Street Northwest
432,Little Street Southeast
433,Peachtree Hills Avenue Northeast
434,Woodlawn Avenue Northwest
435,Arno Court Northwest
436,Salmon Avenue Southeast
437,Bonaventure Avenue Northeast
438,Dill Avenue Southwest
439,Almont Drive Southwest
440,Joseph E. Lowery Boulevard
441,University Avenue
442,Hemphill School Road Northwest
443,McDonald Street Southeast
444,Beeler Drive Southwest
445,Athens Avenue Southwest
446,Simpson Street Northwest
447,Epworth Street Southwest
448,Revere Road Southwest
449,14th Street Northwest
450,Winfield Court Soiuthwest
451,West Wesley Road Northwest
452,East Wesley Road
453,Richardson Street Southwest
454,Camden Road Northeast
455,Astor Avenue Southwest
456,Sims Street Southwest
457,Edgefield Drive Southwest
458,Vineyards Drive Southeast
459,Wyndham Way
460,Ellsworth Industrial Drive Northwest
461,Watts Road Northwest
462,Ralph David Abernathy Freeway
463,Rhodesia Avenue Southeast
464,Lionel Hampton PATH Trail
465,Sidney Marcus Boulevard Northeast
466,Bill Lucas Drive Southeast
467,Forrest Circle Southeast
468,Howard Street Northeast
469,Lenox Road
470,Field Street Southeast
471,Carroll Street Southeast
472,Verdant Drive Southwest
473,Tiger Flowers Drive Northwest
474,Oak Knoll Terrace Southeast
475,Olympian Way Southwest
476,Hooper Street Southeast
477,Beecher Road Southwest
478,Hills Avenue Northwest
479,University Avenue Southwest
480,Adkins Road Northwest
481,Beckwith Street Southwest
482,Bixby Street Southeast
483,Richmond Street Southeast
484,Conrad Avenue Southeast
485,Defoor Hills Road Northwest
486,St Johns Avenue Southwest
487,Level Ridge Road Southeast
488,Dale Lane Southwest
489,Fairburn Road
490,Deerborne Court Southwest
491,Merritts Avenue Northeast
492,Kendrick Avenue Southeast
493,McMillan Street Northwest
494,Susan Lane Southwest
495,Lynhurst Drive Southwest
496,Hallman Street Northeast
497,Pearce Street Southwest
498,Redford Drive Southeast
499,Deering Road Northwest
500,Verbena Street Northwest
501,Glenlock Circle
502,Nelson Street Southwest
503,Lindbergh Place Northeast
504,Langston Avenue Southwest
505,Sherwood Road Northeast
506,T. Harvey Mathis Parkway
507,Ogden Street Southwest
508,Mayland Avenue Southwest
509,Trolley Line Trail
510,McWilliams Road
511,Mobley Drive Southeast
512,Bonneville Terrace Northwest
513,Kirkwood Avenue Southeast
514,26th Street Northwest
515,Quaker Street Southwest
516,1st Avenue Southwest
517,Browns Mill Road Southeast
518,Euclid Avenue Northeast
519,Portman PATH
520,Westview Drive Southwest
521,Fulton Street Southwest
522,PATH400
523,Bishop Street Northwest
524,I 20
525,Baker Ridge Drive Northwest
526,25th Street Northwest
527,Fern Avenue Southeast
528,Northside Parkway Northwest
529,Liberty Parkway Northwest
530,Imperial Circle Southwest
531,Elizabeth Street Northeast
532,Lois Place Northwest
533,Lenox Park Boulevard Northeast
534,Venetian Drive Southwest
535,Old Hapeville Road Southwest
536,Jewel Drive
537,Collum Street Northwest
538,Marietta Road Northwest
539,Graham Street Southwest
540,Baker Street Northwest
541,Waits Avenue Southwest
542,High Falls Court Southwest
543,15th Street Northeast
544,Peachtree Street
545,Roswell Road
546,13th Street Northeast
547,Meadowbrook Drive Northeast
548,Logan Lane Southwest
549,Amal Drive Southwest
550,Kipling Street Southeast
551,Beecher Street Southwest
552,11th Street Northeast
553,Kilburn Drive Northeast
554,Huff Road Northwest
555,3rd Avenue Southeast
556,Dearborn Street Southeast
557,Ralph McGill Boulevard Northeast
